lat,lon,station
3.1652351,101.6910949,KA04 Putra
3.1193154,101.6734811,Abdullah Hukum
3.2087148,101.6285344,KA07 Kepong Sentral
3.1652645,101.6911202,Putra
3.1136899,101.6812911,Seputeh
3.0762662,101.7109785,Bandar Tasik Selatan
2.1867974,103.1941158,Paloh
2.033669,103.3173247,Kluang
1.8126823,103.4768195,Layang-Layang
1.6437792,103.621366,Kulai
1.5356776,103.7217665,Kempas Baru
2.1428372,103.2386579,Chamek
6.0427091,102.1423693,Pasir Mas
4.4904212,101.9451536,Chegar Perah
3.9370934,102.3577594,Jerantut
5.4087656,100.2770747,Lower Station
2.8023079,101.7995013,KB10 Nilai
4.4598846,101.0492993,Batu Gajah
4.1740761,101.1892954,Tapah Road
2.9395784,101.7877867,KB07 UKM
4.8789038,101.9667704,Gua Musang
3.9752447,103.4115128,Kuantan Port
5.4729029,115.7969558,Membakut
5.5391508,115.8559891,Bongawan
5.6149046,115.8884261,Kimanis
5.7325527,115.9323371,Papar
5.7724143,116.018768,Kawang
5.8936708,116.0488595,Putatan
1.4629737,103.7646343,Putatan
3.2379768,101.6812283,Batu Caves
3.1185282,101.6789854,Midvalley
3.043158,101.4499835,KTM Klang
6.1184521,102.2007266,Wakaf Bharu
3.0206284,101.4105033,Kampung Raja Uda
2.4638765,102.2262731,KB17 Pulau Sebang/Tampin
4.1865285,102.0537253,Kuala Lipis
5.4210223,100.2711487,Viaduct Station
5.4157917,100.2738248,Middle Station
3.2581698,101.5548619,Kuang
4.6527989,101.1202656,Tasek
2.4635084,102.2261457,KB17 Pulau Sebang/Tampin
2.6604935,101.9961253,Sungai Gadut
2.6906203,101.9717709,KB14 Senawang
3.1136874,101.68142,KB02 Seputeh
6.1992486,102.1674693,Tumpat
5.8059616,102.1467013,Tanah Merah
5.7025768,102.151937,Temangan
5.3908896,102.2320991,Manek Urai
5.3548356,102.1118126,Bukit Abu
5.3770312,102.0101841,Dabong
4.69324,102.0033226,Merapoh
4.4951423,101.9491713,Sungai Temau
4.2328127,101.9899092,Padang Tengku
4.1173459,102.1994982,Kerambit
3.7105463,102.3662401,Kuala Krau
3.3311733,102.4203073,Mengkarak
3.2463484,102.4113175,Triang
2.8113418,102.4038783,Bahau
3.4841137,102.3433889,Mentakab
1.8847728,103.4034496,Renggam
3.0834555,101.6565336,Jalan Templer
5.8246567,100.4779181,Gurun
2.8023532,101.7997953,Nilai
2.8257973,101.7133911,Salak Tinggi
3.0359498,101.4702178,KTM Bukit Badak
3.3760442,101.6144549,KA11 Serendah
5.0794378,102.0694226,Limau Kasturi
5.1400529,115.866086,Pangi
5.3434808,115.7448401,Beaufort
5.2085231,115.8804128,Rayoh
5.2736015,115.8029682,Saliwangan
6.6626841,100.3201982,Padang Besar
5.4187908,100.2726682,Claremont Station
5.4821741,100.4979817,Tasek Gelugor
3.4685255,101.6377216,KA12 Batang Kali
5.1229143,115.9449681,Tenom
3.6847662,101.5182472,KA15 Tanjung Malim
2.7411872,101.8719239,KB12 Tiroi
2.5928981,102.0944333,KB16 Rembau
2.6604742,101.996243,KB15 Sungai Gadut
2.5813199,102.7022381,KB15 Sungai Gadut
3.1345325,101.5552743,Terminal Skypark
2.7188308,101.9404842,KTM Seremban
2.7413456,101.8719278,Tiroi
6.0215379,101.9765127,Rantau Panjang
5.4236761,100.2694386,Upper Station
3.1338872,101.6866388,KL Sentral (ERL) Departure
2.7445935,101.6851349,KL Sentral (ERL) Departure
2.754734,101.7044188,KLIA
3.1154769,101.5663581,KLIA
3.0928972,101.5674052,KLIA
2.983108,101.7905234,Kajang (KTM)
3.6847895,101.518298,Tanjung Malim
3.1344447,101.6863476,KL Sentral (KTM)
5.254954,115.8309193,Halogilat
5.2708446,115.8164198,Halogilat
5.4230173,100.2697988,Upper Tunnel Station
3.1358117,102.3706026,Kemayan
2.5930239,102.0946335,KB16 c
2.7187881,101.9404509,KB13 Seremban
2.9040637,101.7862736,Bangi
2.9396496,101.7878366,UKM
3.1395667,101.6936263,Kuala Lumpur
3.1395162,101.6937727,Kuala Lumpur
3.1396189,101.6937436,KA02 Kuala Lumpur
3.1545422,101.6930105,KA03 Bank Negara
3.1545691,101.6929903,KA03 Bank Negara
2.9996041,101.3913635,KD19 Pelabuhan Klang
3.1822891,101.6887547,Sentul
3.1982566,101.6812612,KC02 Batu Kentonmen
3.2048034,101.6756708,Kampung Batu (KTM)
3.214551,101.6722105,Taman Wahyu
3.0845354,101.6219044,Seri Setia
3.0403095,101.4316361,Teluk Pulai
3.0340621,101.4249469,Teluk Gadong
3.083194,101.6114416,Setia Jaya
3.0136555,101.4029794,Jalan Kastam
3.084447,101.6322696,KD06 Kampung Dato Harun
3.0861638,101.664203,Petaling
3.0956009,101.6700392,KD03 Pantai Dalam
3.1864391,101.6642105,Segambut
3.1133137,101.6732863,Angkasapuri
3.2086928,101.6285123,Kepong Sentral
2.7547334,101.7046397,ERL KLIA
2.7545496,101.7045272,ERL KLIA
3.4683857,101.6377519,Batang Kali
3.5532658,101.6394705,Kuala Kubu Bharu KTM
3.5003125,101.6342137,Rasa
3.0564475,101.5251162,Shah Alam
6.5235122,100.2568765,Bukit Ketri
3.0844964,101.6219071,KD07 Seri Setia
3.1192952,101.6735178,Abdullah Hukum
3.1340015,101.6865834,KL Sentral (ERL) Arrival
5.4221833,100.2702751,KL Sentral (ERL) Arrival
2.8256649,101.7134347,Salak Tinggi
2.9315274,101.6704006,ERL Putrajaya/Cyberjaya
3.1348342,101.6861526,KL Sentral
3.0758459,101.7101627,Bandar Tasik Selatan
3.3194651,101.5747699,Rawang
3.3194747,101.5748537,Rawang
3.0758193,101.7101933,Bandar Tasik Selatan
3.1137093,101.6813051,Seputeh
3.0762388,101.7110195,Bandar Tasik Selatan
2.9396673,101.787853,UKM
2.8023401,101.7998109,Nilai
2.7413557,101.8719931,Tiroi
2.7188476,101.9405036,KTM Seremban
2.690625,101.9717953,KB14 Senawang
2.5930393,102.0946687,KB16 c
2.4635472,102.2261644,KB17 Pulau Sebang/Tampin
6.523519,100.2569148,Bukit Ketri
6.0945967,102.1745936,Bunut Susu
5.242042,115.9986878,Bunut Susu
2.5797936,102.6136329,Gemas
6.1629407,102.2077717,Kampung Kok Pasir
3.2379739,101.6811911,Batu Caves
2.7444797,101.6852081,Batu Caves
2.3878645,103.0149962,Labis
3.5532596,101.6394461,Kuala Kubu Bharu KTM
3.1133038,101.6732598,Angkasapuri
3.0956067,101.670009,KD03 Pantai Dalam
3.0862295,101.6641432,Petaling
3.0834859,101.6565162,Jalan Templer
3.0844787,101.6322788,Kampung Dato Harun
3.0232024,101.7159912,Serdang
3.0231617,101.7158884,Serdang
2.9831192,101.7905717,Kajang (KTM)
3.0758628,101.5597303,KD10 Batu Tiga
3.0759817,101.5596963,KD10 Batu Tiga
3.0564068,101.525125,Shah Alam
3.0523639,101.4926741,Padang Jawa
3.0522445,101.492672,Padang Jawa
3.0359443,101.4702533,KTM Bukit Badak
3.020603,101.4105345,Kampung Raja Uda
4.3026728,101.153511,Kampar
4.3027113,101.1535366,Kampar
3.0846368,101.5882946,Subang Jaya (KTM)
3.0847429,101.588304,Subang Jaya (KTM)
3.1345566,101.5553065,Terminal Skypark
3.1342529,101.6864333,KL Sentral
3.1343854,101.6863621,KL Sentral (KTM)
3.1345936,101.6862636,KL Sentral (KTM)
3.1347009,101.6862285,KL Sentral
3.1395599,101.6936598,Kuala Lumpur
3.1395089,101.6937972,Kuala Lumpur
3.1982247,101.6812318,KC02 Batu Kentonmen
2.6605794,101.9962271,Sungai Gadut
2.7539826,101.8265821,KB11 Labu
2.7541052,101.8266056,KB11 Labu
2.9040421,101.7863217,Bangi
3.0981912,101.7053393,Salak Selatan
3.0982927,101.7054061,Salak Selatan
3.1185318,101.6790059,KB01 Mid Valley
2.9996336,101.3914603,KD19 Pelabuhan Klang
3.0135698,101.4030733,Jalan Kastam
3.0135963,101.4030472,Jalan Kastam
3.0340384,101.4249672,Teluk Gadong
3.040287,101.4316601,Teluk Pulai
3.0431209,101.449963,KTM Klang
3.0831586,101.611449,Setia Jaya
3.1864172,101.6641977,Segambut
3.208644,101.6285065,Kepong Sentral
3.2061782,101.5800355,Sungai Buloh (KTM)
3.2062687,101.5800567,Sungai Buloh (KTM)
3.2581831,101.5547877,Kuang
3.376064,101.6144393,KA11 Serendah
3.4683893,101.6377267,Batang Kali
3.500308,101.634181,KA13 Rasa
3.6847097,101.518212,Tanjung Malim
3.6847756,101.5182853,Tanjung Malim
3.2026423,101.6372464,Kepong
3.2027324,101.6373342,Kepong
3.1823091,101.6887161,Sentul
3.2047778,101.6756303,Kampung Batu (KTM)
3.2145295,101.6721673,Taman Wahyu
5.9589162,116.0685965,Sembulan
5.3933618,100.366572,Butterworth
5.393364,100.3664393,Butterworth
5.393284,100.3663809,Butterworth
5.3933914,100.3664593,Butterworth
5.3934685,100.3665156,Butterworth
3.1338707,101.686645,KL Sentral
3.1339806,101.6865914,KL Sentral
2.8303998,101.8267661,Batang Benar
2.8303784,101.8268895,Batang Benar
2.9313894,101.6709258,ERL Putrajaya/Cyberjaya
2.9313928,101.6708981,ERL Putrajaya/Cyberjaya
5.3643872,100.4216865,Bukit Tengah
5.3644204,100.4216984,Bukit Tengah
5.3662814,100.4479491,Bukit Mertajam
5.3663255,100.4479536,Bukit Mertajam
5.4821102,100.4980002,Tasek Gelugor
5.4821177,100.4979672,Tasek Gelugor
5.6428646,100.4900629,Sungai Petani
5.642874,100.4900259,Sungai Petani
5.8246553,100.4779536,Gurun
5.972063,100.4406351,Kobah
5.9720386,100.4405884,Kobah
6.1130166,100.3696532,Alor Setar
6.1130321,100.3696115,Alor Setar
6.1832936,100.3748721,Anak Bukit
6.1832733,100.374828,Anak Bukit
6.3707778,100.3028654,Kodiang
6.3707575,100.3028307,Kodiang
6.4319033,100.2683196,Arau
6.4319113,100.2683665,Arau
6.6631369,100.3207125,Padang Besar
6.6630588,100.3207656,Padang Besar
4.7780789,100.8575101,Padang Rengas
4.7781144,100.857518,Padang Rengas
4.8529505,100.7321605,Taiping
4.8529783,100.7321326,Taiping
4.8958315,100.7193709,Kamunting
4.8958338,100.7194037,Kamunting
5.0284804,100.5274445,Bagan Serai
5.028454,100.5273898,Bagan Serai
5.1304722,100.4861727,Parit Buntar
5.1304816,100.4862072,Parit Buntar
5.1694665,100.4796515,Nibong Tebal
5.1694637,100.4796891,Nibong Tebal
5.2860074,100.4807391,Simpang Ampat
5.286003,100.4807865,Simpang Ampat
2.5796147,102.6138027,Gemas
2.5796574,102.6137909,Gemas
2.5797081,102.6137767,Gemas
2.5797533,102.6137602,Gemas
2.4738636,102.4155293,Batang Melaka
2.4738252,102.4155451,Batang Melaka
3.7453765,101.4497324,Behrang
3.7454015,101.4497618,Behrang
3.8268112,101.402265,Slim River
3.8268564,101.4023161,Slim River
4.0059393,101.3014286,Sungkai
4.0059716,101.3014509,Sungkai
4.1740759,101.1892719,Tapah Road
4.459869,101.0492604,Batu Gajah
4.5975474,101.0730766,Ipoh
4.5975262,101.0731143,Ipoh
4.8185614,101.0712132,Sungai Siput
4.8185976,101.0712308,Sungai Siput
4.7763014,100.9318641,Kuala Kangsar
4.7762599,100.9318826,Kuala Kangsar
5.8240045,116.043862,Kinarut
